class_or_average,precision,recall,f1-score,support
active_lava,0.9664848012470771,0.9991941982272361,0.9825673534072901,1241.0
dry_lava,0.997539975399754,0.947429906542056,0.9718394248052726,856.0
cloud,1.0,1.0,1.0,1441.0
other,0.9986366734832992,0.9993178717598908,0.9989771564950563,1466.0
accuracy,0.990607513988809,0.990607513988809,0.990607513988809,0.990607513988809
macro avg,0.9906653625325326,0.9864854941322958,0.9883459836769046,5004.0
weighted avg,0.990867949763455,0.990607513988809,0.990559781101821,5004.0
