feature,importance
heat_index,0.3195075500169519
B2,0.1281425293650996
B12,0.11852902619553907
B3,0.10410273986759164
swir_slope,0.10298089166226208
B11,0.07784600891277133
B4,0.07274307054860565
B8,0.047635873589634926
NDVI,0.028512309841543786
